type,properties/name,properties/web_address,properties/image,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,University of Connecticut,https://uconn.edu/,https://logo.clearbit.com/uconn.edu?size=40,Point,-72.6728583516942,41.7624792281325
Feature,Kyoto Institute of Technology,https://www.kit.ac.jp/,https://logo.clearbit.com/edu.kit.ac.jp?size=40,Point,135.776008,35.05159
Feature,"Islington College, Kathmandu",http://islington.edu.np/,https://logo.clearbit.com/islingtoncollege.edu.np?size=40,Point,85.3259835,27.7085191
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,4.3612347,50.8470775
Feature,Simón Bolívar University (Universidad Simón Bolívar) USB,http://www.usb.ve/,https://logo.clearbit.com/usb.ve?size=40,Point,-66.8754392,10.4078492
Feature,INTEK Training JSC (INTEK Institute),https://intek.edu.vn/,https://logo.clearbit.com/intek.edu.vn?size=40,Point,106.6951075,10.8097544
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,26.1027202,44.4361414
Feature,REA College,https://www.reacollegenederland.nl,https://logo.clearbit.com/reacollege.net?size=40,Point,5.7853469,53.2000359
Feature,Pontifícia Universidade Católica do Rio Grande do Sul,http://www.pucrs.br/en/,https://logo.clearbit.com/acad.pucrs.br?size=40,Point,-51.1760526226575,-30.0583918
Feature,Ohio University,https://www.ohio.edu/,https://logo.clearbit.com/ohio.edu?size=40,Point,-83.0062027,39.3316927
Feature,BeCode,https://www.becode.org/,https://logo.clearbit.com/becode.org?size=40,Point,5.53992262615274,50.9952876
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,-9.1436266,38.7276425
Feature,BeCode,https://www.becode.org/,https://logo.clearbit.com/becode.org?size=40,Point,5.58696330659404,50.6330005
Feature,Ohio University,https://www.ohio.edu/,https://logo.clearbit.com/ohio.edu?size=40,Point,-80.920732,40.077588
Feature,BeCode,https://www.becode.org/,https://logo.clearbit.com/becode.org?size=40,Point,4.4009405,51.225451
Feature,GUSTO College,http://gusto-education.com/,https://logo.clearbit.com/?size=40,Point,96.1357513,16.8092431
Feature,Coventry University,https://www.coventry.ac.uk/,https://logo.clearbit.com/uni.coventry.ac.uk?size=40,Point,-1.5063704,52.4088569
Feature,Code First: Girls,https://www.codefirstgirls.org.uk/,https://logo.clearbit.com/codefirstgirls.org.uk?size=40,Point,-0.0856587279468287,51.52253835
Feature,Ohio University,https://www.ohio.edu/,https://logo.clearbit.com/ohio.edu?size=40,Point,-82.5862945667868,39.73905005
Feature,AltCampus Services Pvt. Ltd,https://altcampus.io/,https://logo.clearbit.com/altcampus.io?size=40,Point,76.3694363,32.1972892
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,-3.6979548,40.4273042
Feature,"Moms Can Code, LLC dba Moms Can & Co.",https://www.momscan.co/,https://logo.clearbit.com/momscan.co?size=40,Point,-80.1510065,40.4659599
Feature,SRH Berufsbildungswerk Neckargemünd GmbH,https://www.bbw-neckargemuend.de/,https://logo.clearbit.com/srh.de?size=40,Point,8.7965893,49.3954054
Feature,Ohio University,https://www.ohio.edu/,https://logo.clearbit.com/ohio.edu?size=40,Point,-82.6664172233305,38.5262859258924
Feature,Wild Code School,https://wildcodeschool.com/,https://logo.clearbit.com/wildcodeschool.fr?size=40,Point,-1.5525082,43.445026
Feature,Institute of Business Administration (IBA),https://iba.edu.pk/,https://logo.clearbit.com/khi.iba.edu.pk?size=40,Point,67.0741993,24.9017814
Feature,Ohio University,https://www.ohio.edu/,https://logo.clearbit.com/ohio.edu?size=40,Point,-82.3741362,38.4451569
